food_key,L1_humans,L1_humans_query,L1_nutrition,L1_nutrition_query
white sesame,17,"""white sesame""[tiab] AND humans[mh]",33,"""white sesame""[tiab] AND ""diet, food, and nutrition""[mh]"
white sugar,16816,"(""white sugar""[tiab] OR sucrose[tiab] OR ""refined sugar""[tiab]) AND humans[mh]",16600,"(""white sugar""[tiab] OR sucrose[tiab] OR ""refined sugar""[tiab]) AND ""diet, food, and nutrition""[mh]"
white wine,442,"""white wine""[tiab] AND humans[mh]",911,"""white wine""[tiab] AND ""diet, food, and nutrition""[mh]"
whole grain bread,159,"""whole grain bread""[tiab] AND humans[mh]",163,"""whole grain bread""[tiab] AND ""diet, food, and nutrition""[mh]"
winter melon,8,"""winter melon""[tiab] AND humans[mh]",8,"""winter melon""[tiab] AND ""diet, food, and nutrition""[mh]"
yam,457,yam[tiab] AND humans[mh],338,"yam[tiab] AND ""diet, food, and nutrition""[mh]"
yellowtail,29,yellowtail[tiab] AND humans[mh],78,"yellowtail[tiab] AND ""diet, food, and nutrition""[mh]"
young bamboo,1,"""young bamboo""[tiab] AND humans[mh]",9,"""young bamboo""[tiab] AND ""diet, food, and nutrition""[mh]"
yuba,12,yuba[tiab] AND humans[mh],16,"yuba[tiab] AND ""diet, food, and nutrition""[mh]"
zucchini,93,zucchini[tiab] AND humans[mh],269,"zucchini[tiab] AND ""diet, food, and nutrition""[mh]"
